TITLE="anvil_cfd_result"
VARIABLES="x" "y" "rho" "u" "v" "p" "T" "Mach" "p0"
ZONE T="Fluid", I=80, J=40, DATAPACKING=POINT
7.56250000e-01 1.55847279e-01 1.71045014e+00 6.05284866e+02 1.06716003e+02 1.72911467e+05 3.52162999e+02 1.63375215e+00 7.72757654e+05
7.68750000e-01 1.58051366e-01 1.71043145e+00 6.05277390e+02 1.06712641e+02 1.72913837e+05 3.52171671e+02 1.63371091e+00 7.72720724e+05
7.81250000e-01 1.60255454e-01 1.71041998e+00 6.05269075e+02 1.06709076e+02 1.72917226e+05 3.52180937e+02 1.63366600e+00 7.72684130e+05
7.93750000e-01 1.62459541e-01 1.71041033e+00 6.05260669e+02 1.06706069e+02 1.72920756e+05 3.52190113e+02 1.63362133e+00 7.72648433e+05
8.06250000e-01 1.64663628e-01 1.71040081e+00 6.05252284e+02 1.06703919e+02 1.72924188e+05 3.52199065e+02 1.63357763e+00 7.72613417e+05
8.18750000e-01 1.66867715e-01 1.71038974e+00 6.05244093e+02 1.06702724e+02 1.72927291e+05 3.52207664e+02 1.63353570e+00 7.72578970e+05
8.31250000e-01 1.69071803e-01 1.71037464e+00 6.05236380e+02 1.06702496e+02 1.72929750e+05 3.52215780e+02 1.63349658e+00 7.72544893e+05
8.43750000e-01 1.71275890e-01 1.71035419e+00 6.05229395e+02 1.06702756e+02 1.72931380e+05 3.52223312e+02 1.63346095e+00 7.72511132e+05
8.56250000e-01 1.73479977e-01 1.71032599e+00 6.05223416e+02 1.06703618e+02 1.72931867e+05 3.52230112e+02 1.63342993e+00 7.72477578e+05
8.68750000e-01 1.75684064e-01 1.71029143e+00 6.05218396e+02 1.06704871e+02 1.72931374e+05 3.52236225e+02 1.63340319e+00 7.72444579e+05
8.81250000e-01 1.77888152e-01 1.71024853e+00 6.05214601e+02 1.06706488e+02 1.72929653e+05 3.52241555e+02 1.63338165e+00 7.72412080e+05
8.93750000e-01 1.80092239e-01 1.71020454e+00 6.05211301e+02 1.06707743e+02 1.72927702e+05 3.52246640e+02 1.63336180e+00 7.72380503e+05
9.06250000e-01 1.82296326e-01 1.71015781e+00 6.05208619e+02 1.06709078e+02 1.72925295e+05 3.52251363e+02 1.63334445e+00 7.72349769e+05
9.18750000e-01 1.84500414e-01 1.71010998e+00 6.05206242e+02 1.06710638e+02 1.72922657e+05 3.52255842e+02 1.63332856e+00 7.72319692e+05
9.31250000e-01 1.86704501e-01 1.71006486e+00 6.05203532e+02 1.06712107e+02 1.72920319e+05 3.52260372e+02 1.63331164e+00 7.72289766e+05
9.43750000e-01 1.88908588e-01 1.71002570e+00 6.05199881e+02 1.06712986e+02 1.72918753e+05 3.52265249e+02 1.63329119e+00 7.72259213e+05
9.56250000e-01 1.91112675e-01 1.70999264e+00 6.05195339e+02 1.06712970e+02 1.72917955e+05 3.52270434e+02 1.63326727e+00 7.72228113e+05
9.68750000e-01 1.93316763e-01 1.70996129e+00 6.05190542e+02 1.06712219e+02 1.72917459e+05 3.52275883e+02 1.63324174e+00 7.72196500e+05
9.81250000e-01 1.95520850e-01 1.70993212e+00 6.05187142e+02 1.06710887e+02 1.72916739e+05 3.52280426e+02 1.63322169e+00 7.72170206e+05
9.93750000e-01 1.97724937e-01 1.70985065e+00 6.05188797e+02 1.06707638e+02 1.72911037e+05 3.52285593e+02 1.63321255e+00 7.72134212e+05
6.25000000e-03 3.86020436e-02 1.17732480e+00 6.94323373e+02 1.70137308e-01 1.01413459e+05 3.00074884e+02 1.99939283e+00 7.92755352e+05
1.87500000e-02 4.08061309e-02 1.18425251e+00 6.93157992e+02 1.80123837e+00 1.02252924e+05 3.00788874e+02 1.99367321e+00 7.92238744e+05
3.12500000e-02 4.30102181e-02 1.21574180e+00 6.87837404e+02 9.27057597e+00 1.06133296e+05 3.04116966e+02 1.96768720e+00 7.89762526e+05
4.37500000e-02 4.52143054e-02 1.29878611e+00 6.73796837e+02 2.84372047e+01 1.16678426e+05 3.12955992e+02 1.90162522e+00 7.83785005e+05
5.62500000e-02 4.74183927e-02 1.43349830e+00 6.51583439e+02 5.70900116e+01 1.34345666e+05 3.26480182e+02 1.80573248e+00 7.78721317e+05
6.87500000e-02 4.96224799e-02 1.57544809e+00 6.29087747e+02 8.30401323e+01 1.53469041e+05 3.39349353e+02 1.71826406e+00 7.78709584e+05
8.12500000e-02 5.18265672e-02 1.66580995e+00 6.14791052e+02 9.83924260e+01 1.65944460e+05 3.47030506e+02 1.66719624e+00 7.79663320e+05
